"","STYPE","MAANTHUI","MGEMOMV","MGEMLEEF","MOSHOOFD","MGODRK","MGODPR","MGODOV","MGODGE","MRELGE","MRELSA","MRELOV","MFALLEEN","MFGEKIND","MFWEKIND","MOPLHOOG","MOPLMIDD","MOPLLAAG","MBERHOOG","MBERZELF","MBERBOER","MBERMIDD","MBERARBG","MBERARBO","MSKA","MSKB1","MSKB2","MSKC","MSKD","MHHUUR","MHKOOP","MAUT1","MAUT2","MAUT0","MZFONDS","MZPART","MINKM30","MINK3045","MINK4575","MINK7512","MINK123M","MINKGEM","MKOOPKLA","PWAPART","PWABEDR","PWALAND","PPERSAUT","PBESAUT","PMOTSCO","AAUT","PAANHANG","PTRACTOR","PWERKT","PBROM","PLEVEN","PPERSONG","PGEZONG","PWAOREG","PBRAND","PZEILPL","PPLEZIER","PFIETS","PINBOED","PBYSTAND","AWAPART","AWABEDR","AWALAND","APERSAUT","ABESAUT","AMOTSCO","AVRAAUT","AAANHANG","ATRACTOR","AWERKT","ABROM","ALEVEN","APERSONG","AGEZONG","AWAOREG","ABRAND","AZEILPL","APLEZIER","AFIETS","AINBOED","ABYSTAND","CARAVAN"
"12","21",1,3,"3","01","02","04","3","05","08","2","03","03","04","06","02","08","02","05","1","01","06","02","02","03","04","05","02","01","07","04","08","02","03","05","06","04","05","04","02","01","04","5","3","1","1","06","1","1","01","1","1","1","1","01","1","1","1","3","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"13","15",1,2,"3","06","02","05","2","05","07","3","04","04","05","04","02","05","06","02","2","01","04","03","05","02","03","03","06","02","06","05","07","02","04","08","03","04","05","04","02","01","04","4","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"14","18",1,3,"3","07","01","06","1","05","08","2","02","02","05","06","03","05","05","04","1","02","03","03","03","05","03","02","05","01","06","05","08","03","01","09","02","04","03","05","02","01","05","5","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"15","36",1,1,"2","08","01","07","2","03","02","3","07","06","04","02","03","07","03","02","1","01","05","04","03","02","04","03","05","01","10","01","06","02","04","06","05","05","04","04","01","01","04","4","3","1","1","06","1","1","01","1","1","1","1","01","1","1","1","3","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"16","15",1,2,"3","06","01","08","1","03","08","3","01","01","06","05","01","04","07","03","1","01","03","06","03","03","02","03","06","03","01","10","05","05","03","07","04","03","06","04","01","01","04","4","3","1","1","01","1","1","01","1","1","1","1","01","1","1","1","5","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"17","32",1,2,"3","03","01","07","1","04","08","1","03","01","07","04","03","07","03","03","1","01","05","01","05","03","03","05","03","01","07","04","08","03","01","05","06","01","02","07","03","01","06","5","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"18","17",2,3,"3","08","01","06","1","05","08","1","03","01","03","08","03","02","08","01","3","01","02","02","06","03","01","01","08","01","05","06","07","02","03","08","03","01","07","04","01","01","05","3","3","1","1","07","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"19","35",1,4,"2","01","03","05","1","04","08","1","03","02","04","07","06","05","02","07","1","01","04","01","02","06","03","02","03","01","05","06","08","02","03","06","05","03","03","07","01","01","05","7","3","1","1","06","1","1","01","1","1","1","1","01","1","1","1","3","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"20","14",1,2,"4","09","01","03","1","08","10","1","01","01","07","04","01","01","10","01","1","01","03","05","05","01","01","01","08","03","10","01","08","03","01","10","01","06","05","01","01","01","04","2","1","1","1","01","1","1","01","1","1","1","4","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"21","15",1,4,"3","06","01","07","1","04","10","1","01","01","04","07","01","01","10","01","1","04","01","07","01","01","01","04","07","01","10","01","08","03","01","10","01","04","06","03","01","01","04","4","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"22","15",2,3,"3","06","01","05","3","04","08","1","03","01","03","08","01","03","08","01","1","03","05","01","04","01","01","06","05","01","01","10","08","01","03","10","01","04","07","01","01","01","04","4","3","1","1","07","1","1","01","1","1","1","1","01","1","1","1","5","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"23","35",1,3,"2","01","02","08","1","03","08","1","03","02","04","07","04","06","02","07","1","01","03","01","02","07","02","04","02","01","05","06","08","03","02","06","05","02","02","09","01","01","06","7","3","1","1","07","1","5","01","1","1","1","1","01","1","1","1","5","1","1","1","1","1",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"24","12",2,3,"2","06","01","08","1","03","08","3","01","01","05","06","01","03","08","01","3","01","03","05","03","01","01","05","06","01","03","08","06","05","01","10","01","01","06","05","01","01","05","7","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"25","35",2,4,"3","01","01","05","3","05","09","2","02","02","04","07","02","08","03","05","1","01","04","04","01","02","04","04","04","01","02","09","09","01","02","05","06","01","06","05","01","01","05","7","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","1","1","1","2","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"noinsurance"
"26","15",1,3,"3","06","01","07","2","03","07","1","04","03","04","06","02","03","07","02","1","02","05","03","05","02","03","03","06","03","03","08","08","01","03","08","03","01","05","06","01","01","05","4","3","1","1","01","1","1","01","1","1","1","1","01","1","1","1","5","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"27","20",1,3,"3","06","01","06","1","05","08","3","01","01","04","07","04","06","03","02","1","01","06","03","03","02","04","04","03","02","09","02","10","01","01","06","05","03","04","04","03","01","06","5","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"28","11",1,3,"3","07","01","04","1","07","10","1","01","01","05","06","03","01","08","03","1","06","01","03","01","03","02","06","04","01","03","08","08","03","01","08","03","05","03","05","01","01","04","4","3","1","1","01","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"29","14",1,4,"2","09","01","10","1","01","06","1","05","01","01","10","01","01","10","01","1","03","01","04","06","01","05","01","06","01","10","01","04","03","05","08","03","10","01","01","01","01","02","2","1","1","1","01","1","1","01","1","1","1","4","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"30","15",2,2,"3","06","01","08","2","03","06","2","05","05","02","06","01","03","08","01","1","02","03","07","02","01","03","02","08","02","09","02","06","02","05","09","02","06","04","03","01","01","04","4","3","1","1","01","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"31","39",2,2,"2","08","02","04","3","05","03","5","04","04","04","04","03","06","04","03","1","01","06","04","01","03","02","05","05","01","06","05","08","01","03","10","01","06","04","03","01","01","04","3","3","1","1","07","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"32","36",1,2,"2","08","03","05","3","05","08","2","03","07","01","04","02","09","01","04","1","01","02","02","06","01","04","07","02","01","07","04","08","02","03","07","04","05","05","03","01","01","04","4","1","1","1","01","1","5","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"33","15",1,4,"3","06","02","05","2","06","09","2","02","02","03","08","03","03","07","04","2","02","03","05","02","04","02","02","06","02","05","06","06","05","02","08","03","05","03","05","01","02","05","4","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"34","32",1,2,"3","03","01","06","3","03","05","3","05","05","05","04","02","04","06","03","2","01","04","03","04","03","03","02","04","03","07","04","07","02","04","09","02","05","04","04","01","01","04","5","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"35","35",2,4,"3","01","01","05","3","05","09","2","02","02","04","07","02","08","03","05","1","01","04","04","01","02","04","04","04","01","02","09","09","01","02","05","06","01","06","05","01","01","05","7","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"36","16",1,3,"2","05","03","05","2","05","07","2","04","02","05","06","03","06","03","03","3","01","04","02","04","04","03","03","04","02","07","04","08","02","03","07","04","04","05","04","01","01","04","8","3","1","1","07","1","1","01","1","1","1","1","05","1","3","1","4","1","1","1","1","5",1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,"noinsurance"
"37","05",1,3,"2","05","01","08","3","01","08","3","01","01","07","04","03","08","01","03","1","01","08","01","01","03","04","05","01","01","01","10","08","03","01","08","03","01","07","04","01","01","05","7","3","1","1","07","1","1","01","1","1","1","1","01","1","1","1","5","1","1","1","1","1",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"38","18",1,3,"3","07","01","08","2","03","09","2","02","02","06","04","01","04","07","03","1","03","04","03","04","02","03","04","05","02","04","07","07","03","03","07","04","03","08","02","02","01","04","5","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","2","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"39","13",1,3,"2","03","01","07","1","04","07","1","04","01","01","10","01","04","07","03","1","01","03","06","03","01","03","05","05","01","08","03","04","07","01","07","04","08","01","03","01","01","04","6","1","1","1","01","1","1","01","1","4","1","1","01","1","1","1","7","1","1","1","1","1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"40","15",2,3,"3","06","01","03","4","06","07","4","01","01","04","07","01","02","09","01","1","01","02","07","04","01","02","02","09","01","04","07","07","04","01","10","01","04","06","03","02","01","04","4","3","1","1","06","1","1","01","1","1","1","1","01","1","1","1","5","1","1","1","3","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"noinsurance"
"41","39",1,3,"3","08","02","06","2","04","07","2","03","01","01","10","01","01","10","03","2","02","03","04","03","01","01","06","05","01","10","01","07","02","04","08","03","05","06","01","01","01","04","3","3","1","1","01","1","1","01","1","1","1","1","01","1","1","1","3","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"42","07",1,3,"3","01","03","08","1","01","10","1","01","03","04","05","01","06","05","06","1","01","05","01","02","02","03","05","03","03","02","09","08","03","01","08","03","03","05","04","01","02","05","7","3","1","1","07","1","1","01","1","1","1","1","01","1","1","1","5","1","1","2","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,"insurance"
"43","16",1,3,"3","05","02","05","2","05","07","2","03","03","04","06","03","05","04","04","2","02","04","03","03","04","03","03","04","01","05","06","07","03","02","05","06","03","03","05","02","02","06","8","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","7","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"44","15",1,2,"4","06","01","06","1","05","09","1","02","02","08","03","03","03","07","03","1","04","03","03","03","03","02","04","05","02","07","04","07","01","04","08","03","05","03","04","02","01","05","4","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"45","10",1,3,"3","10","03","08","1","01","08","2","03","02","04","06","01","05","06","03","2","01","04","03","04","02","04","03","05","02","01","10","07","03","03","06","05","01","06","04","02","01","05","7","3","1","1","01","1","1","01","1","1","1","1","01","1","1","1","6","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"46","32",1,3,"3","03","01","06","2","04","08","2","03","04","03","06","02","04","07","03","2","02","03","04","04","02","02","02","06","03","06","05","06","03","03","08","03","05","05","02","02","02","04","5","3","1","1","07","1","6","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"insurance"
"47","04",1,2,"4","06","02","06","2","04","07","1","04","05","04","04","02","04","06","03","2","01","04","04","03","02","02","03","06","03","06","05","07","01","04","07","04","04","04","03","02","01","04","4","2","1","1","01","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"48","32",1,4,"2","03","01","05","1","06","09","1","02","02","02","09","02","05","06","02","1","01","03","01","08","02","03","03","06","02","09","02","06","05","02","09","02","06","05","01","01","01","03","5","3","1","1","06","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"49","13",1,3,"3","03","03","05","2","04","09","1","02","02","06","05","02","05","05","02","1","01","07","02","04","01","04","03","05","01","06","05","06","03","04","07","04","03","05","04","02","01","05","6","1","1","1","06","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"50","15",2,3,"3","06","01","05","1","06","08","1","03","03","02","07","01","03","08","01","1","01","04","07","01","01","02","02","07","03","05","06","06","03","04","09","02","04","05","03","01","01","04","4","2","1","1","01","1","1","01","1","1","1","1","01","1","1","1","3","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"51","15",1,2,"4","06","01","03","3","06","08","1","03","01","07","04","01","03","08","01","1","01","04","05","04","01","03","01","08","01","10","01","08","03","01","10","01","07","04","01","01","01","04","4","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"52","37",1,2,"3","04","01","06","2","05","04","3","06","06","04","04","03","04","05","02","2","01","05","03","04","02","05","02","04","03","08","03","07","02","04","09","02","06","04","03","01","01","04","2","3","1","1","01","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"53","06",1,2,"3","08","02","05","3","04","07","3","03","03","05","04","02","03","07","02","1","01","04","03","05","02","02","02","07","03","10","01","08","03","03","09","02","04","04","04","02","01","05","3","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"54","07",1,2,"4","01","01","08","1","03","07","1","04","05","03","05","04","04","04","05","1","03","01","05","02","04","01","03","06","01","02","09","04","01","07","08","03","05","04","03","03","01","05","7","2","1","1","01","1","1","01","1","1","1","1","01","1","1","1","3","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"noinsurance"
"55","15",2,3,"3","06","01","07","2","04","08","1","03","02","04","07","02","03","08","02","1","02","04","04","05","02","03","02","07","02","02","09","09","01","02","09","02","01","03","08","01","01","05","4","3","1","1","07","1","1","01","1","1","1","1","05","1","1","1","5","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,"noinsurance"
"56","13",2,5,"2","03","02","06","1","04","08","2","03","01","01","10","01","05","06","01","1","01","07","04","01","01","05","01","06","01","03","08","07","03","03","07","04","01","05","06","01","01","05","6","3","1","1","07","1","1","01","1","1","1","1","01","1","1","1","5","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"57","07",1,1,"2","01","01","06","2","05","05","4","03","07","04","02","05","06","02","03","1","01","05","04","03","02","02","02","08","03","09","02","09","01","02","10","01","04","06","03","01","01","04","7","1","1","1","06","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"58","02",1,3,"2","01","01","07","1","04","08","3","01","02","03","07","03","05","05","02","1","01","06","03","02","01","04","03","05","01","01","10","10","01","01","06","05","03","05","05","01","01","05","8","3","1","1","01","1","1","01","1","1","1","1","01","1","1","7","5","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"insurance"
"59","34",1,2,"3","06","01","05","5","03","08","3","02","02","08","03","01","04","07","02","1","03","05","02","05","02","02","05","05","03","08","03","09","02","02","08","03","06","04","03","01","01","04","6","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"60","24",1,3,"3","09","01","05","2","05","07","2","04","02","05","06","02","04","06","04","1","02","05","02","03","02","03","05","04","02","03","08","05","01","06","08","03","03","03","03","05","02","07","3","3","1","1","01","1","1","01","1","1","1","1","01","1","1","1","2","1","1","1","1","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"61","24",1,2,"4","09","01","06","4","03","05","2","05","06","05","02","03","05","04","02","2","01","06","03","02","02","03","04","05","02","10","01","06","01","05","06","05","06","04","03","01","01","04","3","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"62","04",1,3,"3","06","02","05","2","05","07","2","04","03","05","05","02","04","07","02","2","02","03","05","03","02","03","03","05","02","05","06","06","03","04","08","03","04","05","03","02","02","04","4","1","1","1","07","1","1","01","1","1","1","1","01","1","1","1","4","1","1","1","1","1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"63","12",1,3,"3","06","01","05","1","06","10","1","01","01","06","05","04","05","04","03","1","01","06","03","02","03","02","04","05","02","03","08","06","05","01","06","05","01","03","04","03","04","09","7","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"64","36",2,1,"1","08","01","03","5","05","03","3","06","06","05","01","01","08","03","01","1","01","08","01","03","01","06","01","05","01","10","01","08","01","03","10","01","05","05","03","01","01","04","4","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"65","07",1,1,"3","01","05","01","1","06","01","3","08","08","03","02","01","08","03","01","1","01","04","01","07","01","04","05","01","03","09","02","03","01","08","08","03","07","04","01","03","01","04","7","3","1","1","07","1","1","01","1","1","1","1","01","1","1","1","3","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"66","15",1,4,"2","06","01","09","2","01","10","1","01","01","03","08","03","04","05","04","2","01","05","02","02","04","03","03","05","01","01","10","08","03","01","07","04","01","07","04","01","01","05","4","3","1","1","07","1","1","01","1","1","1","1","01","1","1","1","5","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"67","04",1,3,"3","06","01","07","2","03","08","2","03","02","05","05","02","03","07","02","1","02","04","03","05","02","02","03","07","02","06","05","06","03","04","07","04","03","06","03","02","01","04","4","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"68","35",1,3,"3","01","01","07","1","04","07","1","04","03","05","05","05","04","03","08","1","01","01","03","01","08","01","01","03","01","01","10","10","01","01","05","06","01","06","05","01","01","05","7","3","1","1","07","1","1","01","1","1","1","1","01","1","1","1","5","1","1","1","1","1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"noinsurance"
"69","04",1,3,"4","06","05","04","1","03","07","1","04","04","05","04","01","08","03","03","1","03","05","01","03","03","02","06","03","01","03","08","07","04","01","04","07","01","08","03","01","01","05","4","1","1","1","01","1","1","01","1","4","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
"70","23",1,2,"5","09","03","03","3","05","07","1","04","04","05","03","01","02","09","02","1","01","02","05","06","01","02","02","05","06","10","01","05","04","04","10","01","02","09","01","01","01","04","4","1","1","1","01","1","1","01","1","1","1","1","01","1","1","1","1","1","1","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"noinsurance"
